No.	Well	Dep  Dist		Code	AC 	CNL 	DEN 	GR 	PE 	RLLD
1494	68-02	3560.600	0.846	7	168.5790	5.6470	2.6200	99.1990	2.9970	482.7670
1495	60-1	3389.100	0.857	7	197.1840	13.6380	2.6230	66.3540	3.1050	164.2460
1496	49-43	3275.900	0.864	7	198.5910	20.9920	2.6130	86.8870	2.7740	108.0590
1497	56-04	3412.900	0.867	7	173.2440	8.6210	2.6430	77.5750	3.2350	119.9880
1498	61-05	3384.600	0.877	7	186.9780	13.5670	2.4850	136.9600	2.6670	87.9880
1499	47-10	3359.600	0.896	7	197.7330	11.3830	2.6290	83.6090	2.9980	308.5740
1500	71-05	3492.700	0.912	7	190.7350	13.5980	2.6510	83.0500	3.3790	125.4020
1501	68-02	3541.800	0.913	7	186.8200	7.1980	2.5330	151.9170	2.5770	89.6250
1502	49-25	3360.800	0.919	7	181.2150	25.4820	2.5590	165.2820	3.1100	97.1640
1503	43-23	3374.500	0.923	7	191.7410	9.8030	2.6190	67.7310	3.5990	1212.4460
1504	44-45	3238.500	0.940	7	178.6750	11.2560	2.6550	68.5060	3.1910	171.6440
1505	45-34	3421.200	0.944	7	192.4960	13.9390	2.4820	91.7140	3.7820	506.6850
1506	68-02	3560.400	0.948	7	167.4320	5.1550	2.6230	97.1830	2.9920	501.4270
1507	60-09	3589.300	0.977	7	179.6170	6.9000	2.4700	66.8730	2.6650	56.5400
1508	41-43	3352.000	0.986	7	164.0560	24.4730	2.5930	75.8180	3.4310	39.5990
1509	57-02	3464.700	1.017	7	169.9030	14.7660	2.6490	92.4940	3.3760	142.0740
1510	47-38	3281.000	1.019	7	197.2270	19.2080	2.6390	86.5630	3.3600	65.0270
1511	Z28	3282.500	1.025	7	191.9070	34.4410	2.6270	98.5490	3.0170	213.0570
1512	55-010	3429.400	1.025	7	178.0450	11.6520	2.6630	82.3310	3.0900	63.1090
1513	60-09	3477.300	1.025	7	191.1790	28.0280	2.4790	106.9360	2.6040	86.1580
1514	45-34	3421.400	1.032	7	177.9390	7.8380	2.5010	95.5750	4.0960	101.4370
1515	60-09	3481.400	1.036	7	164.5130	18.5040	2.6240	102.5980	2.8940	61.4570
1516	45-34	3421.600	1.054	7	172.6510	7.2580	2.5290	85.1460	4.1250	120.6070
1517	68-02	3555.800	1.081	7	179.3170	5.6600	2.6540	78.9410	3.3080	985.8120
1518	47-38	3280.800	1.096	7	196.9280	19.0250	2.6430	77.7780	3.3930	70.6020
1519	Z28	3282.700	1.131	7	194.1730	34.6760	2.6280	96.7320	2.9850	188.7780
1520	68-02	3556.000	1.136	7	177.5650	4.9260	2.6520	72.8450	3.2900	1092.2080
1521	56-04	3413.000	1.143	7	197.6200	9.5070	2.6460	108.7730	3.2210	70.4400
1522	41-43	3347.700	1.150	7	198.5510	29.8850	2.5810	120.4290	3.7410	79.1050
1523	49-25	3360.600	1.173	7	188.1000	27.4150	2.5330	169.7870	3.0330	78.3840
1524	Z97	3513.600	1.213	7	197.9160	5.8880	2.6370	73.5030	3.5090	174.8880
1525	60-1	3352.000	1.215	7	191.9430	19.0880	2.6590	70.4640	3.1380	27.7680
1526	71-2	3545.400	1.221	7	170.7250	17.4540	2.4590	104.9810	2.5980	68.6260
1527	68-02	3556.200	1.224	7	174.5290	1.6510	2.6530	79.5380	3.1780	820.2280
1528	71-2	3545.300	1.224	7	164.3770	17.0030	2.6450	98.4530	3.0290	129.5700
1529	68-02	3560.500	1.229	7	164.7240	4.1340	2.6310	92.1530	2.9840	567.1890
1530	68-02	3555.900	1.232	7	174.5710	3.1040	2.6500	69.3440	3.2510	1043.2460
1531	68-02	3556.300	1.244	7	176.0530	1.9280	2.6550	81.8070	3.1360	1180.0810
1532	60-1	3389.800	1.249	7	166.0100	12.5130	2.6020	70.0860	3.9360	326.1460
1533	68-02	3556.100	1.258	7	173.7860	2.4230	2.6500	70.0840	3.2320	978.3680
1534	56-04	3412.700	1.263	7	168.2960	8.7020	2.6540	71.9890	3.2610	124.9310
1535	68-02	3556.500	1.284	7	176.1770	1.9830	2.6560	80.3250	3.1250	1367.5730
1536	57-02	3491.700	1.285	7	188.1110	17.6470	2.4530	142.4200	2.8480	153.6470
1537	68-02	3542.100	1.306	7	193.8070	14.1390	2.5150	164.4200	2.6270	107.8330
1538	41-43	3351.900	1.307	7	161.8450	24.5020	2.6120	74.5910	3.4830	40.7430
